author_id,fullname,lab
1,ABDALLAH SAFFIDINE,EXT
2,ABHINAV GUPTA,EXT
3,ADEL BIBI,EXT
4,ADRIAN HARET,EXT
5,ADRIAN LECOUTRE,EXT
6,AGNÈS RICO,EXT
7,AHLAM AZZAMOURI,EXT
8,AHMED SAMET,EXT
9,AKIHISA SONODA,EXT
10,ALAIN HERTZ,EXT
11,ALAIN RAKOTOMAMONJY,EXT
12,ALAN LUKEŽIČ,EXT
13,ALBAN GAIGNARD,EXT
14,ALBERTO CAPRARA,EXT
15,ALBERTO CESELLI,EXT
16,ALBERTO COLORNI,EXT
17,ALBERTO SANTINI,EXT
18,ALDO PAGANO,EXT
19,ALESSANDRO SOLIMANDO,EXT
20,ALEXANDRE ARAUJO,EXT
21,ALEXANDRE ARAÚJO,EXT
22,ALEXANDRE GONDRAN,EXT
23,ALEXIS TSOUKIÀS,EXT
24,ALEŠ LEONARDIS,EXT
25,ALFREDO PETROSINO,EXT
26,ALI RIDHA MAHJOUB,LAMSADE
27,ALVARO GARCIA-MARTIN,EXT
28,AMBROS GLEIXNER,EXT
29,AMEDEO NAPOLI,EXT
30,AMEL BORGI,EXT
31,AMIN FARVARDIN,EXT
32,AMINE AÏT-YOUNES,EXT
33,AMIR SAFFARI,EXT
34,ANAELLE WILCZYNSKI,EXT
35,ANAËLLE WILCZYNSKI,EXT
36,ANDREA LODI,EXT
37,ANDREAS DARMANN,EXT
38,ANDRZEJ CICHOCKI,EXT
39,ANDRÉ ROSSI,LAMSADE
40,ANDRÉS MONTERO,EXT
41,ANGELIKA WIEGELE,EXT
42,ANNE MORVAN,EXT
43,ANNIG LE PARC-LACAYRELLE,EXT
44,ANTOINE RICHARD,EXT
45,ANTON VARFOLOMIEIEV,EXT
46,ANTONIO FRANGIONI,EXT
47,ARARAT HARUTYUNYAN,LAMSADE
48,ARIEL D. PROCACCIA,EXT
49,ARIS PAGOURTZIS,EXT
50,ARISTOTELIS GIANNAKOS,LAMSADE
51,ASMA RAKIZ,EXT
52,ATIF LINDA,EXT
53,ATILLA BASKURT,EXT
54,AURÉLIE BEYNIER,EXT
55,AXEL MOINET,EXT
56,BAOJUN ZHAO,EXT
57,BARUCH SCHIEBER,EXT
58,BASILE CLEMENT,EXT
59,BEATRICE GUEZ,EXT
60,BEATRICE NAPOLITANO,EXT
61,BENJAMIN NEGREVERGNE,LAMSADE
62,BENJAMIN ROUSVAL,EXT
63,BENOIT DARTIES,EXT
64,BERNARD COUSIN,EXT
65,BERNARD GHANEM,EXT
66,BERNARD GRABOT,EXT
67,BERNARD JACQUEMIN,EXT
68,BERNARD RIES,EXT
69,BINLONG LI,EXT
70,BOHYUNG HAN,EXT
71,BRAIS MARTINEZ,EXT
72,BRICE MAYAG,LAMSADE
73,BRUNO BONTÉ,EXT
74,BRUNO ESCOFFIER,EXT
75,BRUNO ZANUTTINI,EXT
76,BYEONGJU LEE,EXT
77,CAMILLE DEHAIS,EXT
78,CAMILLE ROSENTHAL-SABROUX,EXT
79,CARLO SARTIANI,EXT
80,CARLOS ALBERTO MOLINARO,EXT
81,CATHERINE DUBOIS,EXT
82,CHAOHUI WANG,EXT
83,CHARLY LERSTEAU,EXT
84,CHRISTIAN ARTIGUES,EXT
85,CHRISTIAN SALLABERRY,EXT
86,CHRISTINE FROIDEVAUX,EXT
87,CHRISTOPHE BLANCHET,EXT
88,CHRISTOPHE GARCIA,EXT
89,CHRISTOPHE LABREUCHE,EXT
90,CHRISTOPHE PAUL,EXT
91,CHRISTOPHE PICOULEAU,EXT
92,CHRISTOPHE PRADAL,EXT
93,CHUNYUAN ZHANG,EXT
94,CINZIA BERNARDI,EXT
95,CLAUDIA D'AMBROSIO,EXT
96,CLAUDIA D’AMBROSIO,EXT
97,CLAUDIO GENTILE,EXT
98,CLÉMENT CHATRAS,EXT
99,CORDELIA SCHMID,EXT
100,CRISTINA BAZGAN,LAMSADE
101,CYRIL DE RUNZ,EXT
102,CÉCILE MURAT,LAMSADE
103,CÉDRIC BENTZ,EXT
104,CÉDRIC GOUY-PAILLER,EXT
105,CÉLINE ALBERT,EXT
106,D. VANDERPOOTEN,EXT
107,DACHENG TAO,EXT
108,DAFEI HUANG,EXT
109,DAIJIN KIM,EXT
110,DALAL MADAKAT,EXT
111,DAMIEN BODÉNÈS,EXT
112,DANIEL GODARD,EXT
113,DANIEL GONÇALVES,EXT
114,DANIEL VANDERPOOTEN,LAMSADE
115,DANIL PROKHOROV,EXT
116,DARIO COLAZZO,LAMSADE
117,DAWEI DU,EXT
118,DEEP MEDHI,EXT
119,DENIS BOUYSSOU,LAMSADE
120,DENIS CORNAZ,LAMSADE
121,DERDOUR MAKHLOUF,EXT
122,DIDIER DUBOIS,EXT
123,DIMITRIOS M. THILIKOS,EXT
124,DIMITRIOS XEFTERIS,EXT
125,DIMITRIS FOTAKIS,EXT
126,DIT-YAN YEUNG,EXT
127,DIYÉ DIA,EXT
128,DOMINIK PETERS,EXT
129,DOMINIQUE AMI,EXT
130,DOROTHEA BAUMEISTER,EXT
131,EDI PRIFTI,EXT
132,EDITH ELKIND,EXT
133,EDMOND AWAD,EXT
134,EDOUARD BONNET,EXT
135,EDUARDO UCHOA,EXT
136,ELISE BONZON,EXT
137,ELSA NEGRE,LAMSADE
138,EMERIC TOURNIAIRE,EXT
139,EMILIANO TRAVERSI,EXT
