:ID,fullname:STRING,lab:STRING,:LABEL
1,ABDALLAH SAFFIDINE,EXT,Author
2,ABHINAV GUPTA,EXT,Author
3,ADEL BIBI,EXT,Author
4,ADRIAN HARET,EXT,Author
5,ADRIAN LECOUTRE,EXT,Author
6,AGNÈS RICO,EXT,Author
7,AHLAM AZZAMOURI,EXT,Author
8,AHMED SAMET,EXT,Author
9,AKIHISA SONODA,EXT,Author
10,ALAIN HERTZ,EXT,Author
11,ALAIN RAKOTOMAMONJY,EXT,Author
12,ALAN LUKEŽIČ,EXT,Author
13,ALBAN GAIGNARD,EXT,Author
14,ALBERTO CAPRARA,EXT,Author
15,ALBERTO CESELLI,EXT,Author
16,ALBERTO COLORNI,EXT,Author
17,ALBERTO SANTINI,EXT,Author
18,ALDO PAGANO,EXT,Author
19,ALESSANDRO SOLIMANDO,EXT,Author
20,ALEXANDRE ARAUJO,EXT,Author
21,ALEXANDRE ARAÚJO,EXT,Author
22,ALEXANDRE GONDRAN,EXT,Author
23,ALEXIS TSOUKIÀS,EXT,Author
24,ALEŠ LEONARDIS,EXT,Author
25,ALFREDO PETROSINO,EXT,Author
26,ALI RIDHA MAHJOUB,LAMSADE,Author
27,ALVARO GARCIA-MARTIN,EXT,Author
28,AMBROS GLEIXNER,EXT,Author
29,AMEDEO NAPOLI,EXT,Author
30,AMEL BORGI,EXT,Author
31,AMIN FARVARDIN,EXT,Author
32,AMINE AÏT-YOUNES,EXT,Author
33,AMIR SAFFARI,EXT,Author
34,ANAELLE WILCZYNSKI,EXT,Author
35,ANAËLLE WILCZYNSKI,EXT,Author
36,ANDREA LODI,EXT,Author
37,ANDREAS DARMANN,EXT,Author
38,ANDRZEJ CICHOCKI,EXT,Author
39,ANDRÉ ROSSI,LAMSADE,Author
40,ANDRÉS MONTERO,EXT,Author
41,ANGELIKA WIEGELE,EXT,Author
42,ANNE MORVAN,EXT,Author
43,ANNIG LE PARC-LACAYRELLE,EXT,Author
44,ANTOINE RICHARD,EXT,Author
45,ANTON VARFOLOMIEIEV,EXT,Author
46,ANTONIO FRANGIONI,EXT,Author
47,ARARAT HARUTYUNYAN,LAMSADE,Author
48,ARIEL D. PROCACCIA,EXT,Author
49,ARIS PAGOURTZIS,EXT,Author
50,ARISTOTELIS GIANNAKOS,LAMSADE,Author
51,ASMA RAKIZ,EXT,Author
52,ATIF LINDA,EXT,Author
53,ATILLA BASKURT,EXT,Author
54,AURÉLIE BEYNIER,EXT,Author
55,AXEL MOINET,EXT,Author
56,BAOJUN ZHAO,EXT,Author
57,BARUCH SCHIEBER,EXT,Author
58,BASILE CLEMENT,EXT,Author
59,BEATRICE GUEZ,EXT,Author
60,BEATRICE NAPOLITANO,EXT,Author
61,BENJAMIN NEGREVERGNE,LAMSADE,Author
62,BENJAMIN ROUSVAL,EXT,Author
63,BENOIT DARTIES,EXT,Author
64,BERNARD COUSIN,EXT,Author
65,BERNARD GHANEM,EXT,Author
66,BERNARD GRABOT,EXT,Author
67,BERNARD JACQUEMIN,EXT,Author
68,BERNARD RIES,EXT,Author
69,BINLONG LI,EXT,Author
70,BOHYUNG HAN,EXT,Author
71,BRAIS MARTINEZ,EXT,Author
72,BRICE MAYAG,LAMSADE,Author
73,BRUNO BONTÉ,EXT,Author
74,BRUNO ESCOFFIER,EXT,Author
75,BRUNO ZANUTTINI,EXT,Author
76,BYEONGJU LEE,EXT,Author
77,CAMILLE DEHAIS,EXT,Author
78,CAMILLE ROSENTHAL-SABROUX,EXT,Author
79,CARLO SARTIANI,EXT,Author
80,CARLOS ALBERTO MOLINARO,EXT,Author
81,CATHERINE DUBOIS,EXT,Author
82,CHAOHUI WANG,EXT,Author
83,CHARLY LERSTEAU,EXT,Author
84,CHRISTIAN ARTIGUES,EXT,Author
85,CHRISTIAN SALLABERRY,EXT,Author
86,CHRISTINE FROIDEVAUX,EXT,Author
87,CHRISTOPHE BLANCHET,EXT,Author
88,CHRISTOPHE GARCIA,EXT,Author
89,CHRISTOPHE LABREUCHE,EXT,Author
90,CHRISTOPHE PAUL,EXT,Author
91,CHRISTOPHE PICOULEAU,EXT,Author
92,CHRISTOPHE PRADAL,EXT,Author
93,CHUNYUAN ZHANG,EXT,Author
94,CINZIA BERNARDI,EXT,Author
95,CLAUDIA D'AMBROSIO,EXT,Author
96,CLAUDIA D’AMBROSIO,EXT,Author
97,CLAUDIO GENTILE,EXT,Author
98,CLÉMENT CHATRAS,EXT,Author
99,CORDELIA SCHMID,EXT,Author
100,CRISTINA BAZGAN,LAMSADE,Author
101,CYRIL DE RUNZ,EXT,Author
102,CÉCILE MURAT,LAMSADE,Author
103,CÉDRIC BENTZ,EXT,Author
104,CÉDRIC GOUY-PAILLER,EXT,Author
105,CÉLINE ALBERT,EXT,Author
106,D. VANDERPOOTEN,EXT,Author
107,DACHENG TAO,EXT,Author
108,DAFEI HUANG,EXT,Author
109,DAIJIN KIM,EXT,Author
110,DALAL MADAKAT,EXT,Author
111,DAMIEN BODÉNÈS,EXT,Author
112,DANIEL GODARD,EXT,Author
113,DANIEL GONÇALVES,EXT,Author
114,DANIEL VANDERPOOTEN,LAMSADE,Author
115,DANIL PROKHOROV,EXT,Author
116,DARIO COLAZZO,LAMSADE,Author
117,DAWEI DU,EXT,Author
118,DEEP MEDHI,EXT,Author
119,DENIS BOUYSSOU,LAMSADE,Author
120,DENIS CORNAZ,LAMSADE,Author
121,DERDOUR MAKHLOUF,EXT,Author
122,DIDIER DUBOIS,EXT,Author
123,DIMITRIOS M. THILIKOS,EXT,Author
124,DIMITRIOS XEFTERIS,EXT,Author
125,DIMITRIS FOTAKIS,EXT,Author
